tweet_id,name,gender,Resolution_Category,text,retweet_count,tweet_created,tweet_state,clean_text
5.47e+17,AllisonDar,female,Health & Fitness,"5 down, 25 miles to go #iwillwalk500miles #health #fitness #newyearsresolution #almostthere http://t...",,2014-12-22 12:12:00,DC,5 down 25 miles to go
5.47e+17,jessalttorres,male,Personal Growth,"given that I've made more dog friends than human ones since moving to DC, I think it's obvious what ...",,2014-12-23 06:09:00,DC,given that ive made more dog friends than human ones since moving to dc i think its obvious what my ...
5.48e+17,jdunnx3,female,Personal Growth,#NewYearsResolution get more piercings,,2014-12-23 17:29:00,DC,get more piercings
5.48e+17,aiyinah,female,Personal Growth,I'm not going to tell you #BlackLivesMatter I'm going to continue showing you. #NewYearsResolution,,2014-12-24 08:00:00,DC,im not going to tell you  im going to continue showing you
5.48e+17,TayTommi,female,Personal Growth,"#NewYearsResolution Write with no censor, and stop holding back",,2014-12-24 19:40:00,DC,write with no censor and stop holding back
5.49e+17,MouhanadSYR,male,Personal Growth,"A #NewYearsResolution of mine is to cut all negative, stressful &amp; annoying people out of my life...",,2014-12-26 13:16:00,DC,a  of mine is to cut all negative stressful amp annoying people out of my life no more  no more
5.49e+17,DonnyBridges,male,Humor,My 2015 #NewYearsResolution is to drive to Temecula and fight each and every one of my followers.,,2014-12-26 22:23:00,DC,my 2015  is to drive to temecula and fight each and every one of my followers
5.49e+17,Simbas_Bae,female,Personal Growth,He's right sadly. I do needa step up my game #NewYearsResolution ...?,,2014-12-27 11:41:00,DC,hes right sadly i do needa step up my game
5.49e+17,dosa1to,male,Finance,My #NewYearsResolution is to make more money. Thanks to @l00tapp that is possible! http://t.co/CwrEp...,,2014-12-27 21:48:00,DC,my  is to make more money thanks to @l00tapp that is possible
5.49e+17,paulglester,male,Humor,"In 2015, I resolve to never use the word ""bae."" #NewYearsResolution",,2014-12-28 06:48:00,DC,in 2015 i resolve to never use the word bae
5.49e+17,Mz_Ambitious87,female,Finance,My #NewYearsResolution is to make more money. Thanks to @l00tapp that is possible! http://t.co/0I30q...,,2014-12-28 12:26:00,DC,my  is to make more money thanks to @l00tapp that is possible
5.49e+17,BipolarMomLife,female,Career,Working on a super exciting project for 2015. Can't wait to roll it out in the next few days! #NewYe...,,2014-12-28 20:46:00,DC,working on a super exciting project for 2015 cant wait to roll it out in the next few days
5.49e+17,eunjeongmhur,female,Personal Growth,Brainstorming my 2015 #NewYearsResolution..this time I will make it work!,,2014-12-28 21:22:00,DC,brainstorming my 2015 this time i will make it work
5.5e+17,katrinalp,female,Personal Growth,My #NewYearsResolution is to not read the comments section. Food blogs excluded because people who c...,,2014-12-29 07:45:00,DC,my  is to not read the comments section food blogs excluded because people who comment on recipes ar...
5.5e+17,sgoldstandard,male,Humor,My #NewYearsResolution is to get along better with Starbucks lovers.,,2014-12-29 11:49:00,DC,my  is to get along better with starbucks lovers
5.5e+17,madeleine,female,Health & Fitness,@lancearmstrong At 77 I was trying to keep the elliptical from crushing me. Yay for exercise! Gettin...,,2014-12-29 17:21:00,DC,@lancearmstrong at 77 i was trying to keep the elliptical from crushing me yay for exercise getting ...
5.5e+17,46rogerbrown,male,Health & Fitness,My #NewYearsResolution is #drinkmoreh20. What's yours @CoreyBmorFit @MandyMitch @EileenABC7 @cuevaba...,,2014-12-29 17:30:00,DC,my  is  whats yours @coreybmorfit @mandymitch @eileenabc7 @cuevabar
5.5e+17,AllisonDar,female,Health & Fitness,"Post work, workout. 4 miles down. 5 to go #iwillwalk500miles #health #fitness #newyearsresolution��_...",,2014-12-29 18:54:00,DC,post work workout 4 miles down 5 to go
5.5e+17,bendroz,male,Time Management/Organization,"Last night I had a nightmare, I was lying in bed, unproductive on Facebook ""#badforyourbrain"" @Miley...",,2014-12-29 19:18:00,DC,last night i had a nightmare i was lying in bed unproductive on facebook  @mileycyrus
5.5e+17,bendroz,male,Personal Growth,"Not all Facebook is bad!! I will use #LessFacebook, be smarter about it. Still #doiteveryday #NewYea...",,2014-12-29 19:30:00,DC,not all facebook is bad i will use  be smarter about it still
5.5e+17,gray_lmg19,female,Personal Growth,"RT @HiVoltDisciple: #NewYearsResolution 

I want to become spiritually fit and ready for battle to i...",,2014-12-30 03:01:00,DC,"rt @hivoltdisciple  

i want to become spiritually fit and ready for battle to intentionally proclai..."
