tweet_id,name,gender,Resolution_Category,text,retweet_count,tweet_created,tweet_state,clean_text
5.47e+17,TreyRichardJK,male,Humor,I've decided to get pregnant in #2015 #NewYearsResolution,,2014-12-21 17:51:00,FL,ive decided to get pregnant in
5.47e+17,Red_Inspired,male,Health & Fitness,#bucketlist eat at chipotle never had it #1problem #NewYearsResolution is to go vegetarian. Panara i...,,2014-12-21 21:09:00,FL,eat at chipotle never had it   is to go vegetarian panara it is never had that either
5.47e+17,hscuevas,female,Personal Growth,&amp; too obsessed with social media.... habit I need to break #NewYearsResolution,,2014-12-21 22:50:00,FL,amp too obsessed with social media habit i need to break
5.47e+17,FyM_MoTiVe,male,Time Management/Organization,#NewYearsResolution for 2015 is to finish writing my book and get it published,,2014-12-22 07:55:00,FL,for 2015 is to finish writing my book and get it published
5.47e+17,Hayesisprf,female,Recreation & Leisure,#NewYearsResolution is for @AaronCarpenter to flipping FOLLOW ME!!!!! #FollowMeAaron,,2014-12-22 17:04:00,FL,is for @aaroncarpenter to flipping follow me
5.47e+17,HashtagSupaWolf,male,Personal Growth,When this new year comes I'm going to stick to my #NewYearsResolution,,2014-12-22 17:34:00,FL,when this new year comes im going to stick to my
5.47e+17,immersedlaugh,male,Personal Growth,True to my word: I erased the little bits that you said the second you no longer found it convenient...,,2014-12-22 21:06:00,FL,true to my word i erased the little bits that you said the second you no longer found it convenient ...
5.47e+17,jackrodgersjr,male,Personal Growth,"My #newyearsresolution: avoid all thoughts of personal reform, self-improvement or plans that lead t...",,2014-12-23 04:10:00,FL,my  avoid all thoughts of personal reform selfimprovement or plans that lead to guilt denial or othe...
5.47e+17,Ashaunti_Spence,female,Personal Growth,#RP jayraw__ #newyearsresolution _���_���_��� I am emotionally tired of worrying about who is down w...,,2014-12-23 08:22:00,FL,jayraw     i am emotionally tired of worrying about who is down with me
5.47e+17,JustMeCristian,male,Humor,"2015, i shall get ripped bruhhh _���_��� #relateable #Funny #Comedy #newyearsresolution https://t.co...",,2014-12-23 11:41:00,FL,2015 i shall get ripped bruhhh
5.48e+17,LifeWithJohn,male,Family/Friends/Relationships,RT @BetweenWorlds25: Carrying over my previous year's #NewYearsResolution : I refuse to associate wi...,,2014-12-23 13:20:00,FL,rt @betweenworlds25 carrying over my previous years   i refuse to associate with toxic selfdestructi...
5.48e+17,chessanessa,female,Health & Fitness,Starting my #newyearsresolution early #healthyfood  #colorfulplate. Come on people star the trend!!�...,,2014-12-23 15:27:00,FL,starting my  early    come on people star the trend
5.48e+17,Im_Chinax3,female,Personal Growth,RT @WhoTFisjohnny: #NewYearsResolution STAY FOCUSED,,2014-12-23 16:32:00,FL,rt @whotfisjohnny  stay focused
5.48e+17,KemilyCorrales,female,Health & Fitness,"3. SLIGHT ABS #NewYearsResolution 
To be Continued... _�թ",,2014-12-23 19:25:00,FL,"3 slight abs  
to be continued  թ"
5.48e+17,millerpod,female,Education/Training,In honor of my #NewYearsResolution to learn Spanish #rosettastone #PCSB ESOL http://t.co/3zmp1Ol1yN,,2014-12-24 04:04:00,FL,in honor of my  to learn spanish   esol
5.48e+17,MarnieRyan_,female,Recreation & Leisure,#NewYearsResolution: #1 keep my @goodreads page up to date. I was a major slacker in 2014.,,2014-12-24 05:54:00,FL,keep my @goodreads page up to date i was a major slacker in 2014
