tweet_id,name,gender,Resolution_Category,text,retweet_count,tweet_created,tweet_state,clean_text
5.47e+17,Bruh_panda_sweq,female,Personal Growth,Don't expect me to change its just a new year _��� I am just going to be myself_��� #NewYearsResolut...,,2014-12-22 13:26:00,HI,dont expect me to change its just a new year   i am just going to be myself    ήή
5.49e+17,_fmulu,female,Personal Growth,I have a bad habit of tweeting everything on my mind when I'm pissed. I need to stop. Lol. #NewYears...,,2014-12-26 23:07:00,HI,i have a bad habit of tweeting everything on my mind when im pissed i need to stop lol
5.49e+17,srslyc,female,Personal Growth,Ive been through a lot this year and im deciding to leave it all in THIS YEAR. Ill grow from it by n...,,2014-12-27 11:12:00,HI,ive been through a lot this year and im deciding to leave it all in this year ill grow from it by no...
5.49e+17,ianposts,male,Philanthropic,Having to move reminds me of my materialism and how many things I really don't need. #purge #NewYear...,,2014-12-27 14:18:00,HI,having to move reminds me of my materialism and how many things i really dont need
5.49e+17,djanus13,female,Family/Friends/Relationships,RT @CblocHD: #NewYearsResolution Spend time with my family! ��_���_���,,2014-12-28 09:25:00,HI,rt @cblochd  spend time with my family
5.5e+17,pixiehulagirl,female,Personal Growth,"#NewYearsResolution 
All I really want... http://t.co/4W1plbhoZQ",,2014-12-29 09:15:00,HI,all i really want
5.5e+17,jeanieschmaltz,female,Health & Fitness,@CorePowerYoga getting a jumpstart on my #NewYearsResolution #fit #strong #healthy #happy,,2014-12-29 09:58:00,HI,@corepoweryoga getting a jumpstart on my
5.5e+17,jenkindylim,male,Health & Fitness,I promise that 2015 will be 365 days of healthy living #NewYearsResolution #Fit,,2014-12-29 21:16:00,HI,i promise that 2015 will be 365 days of healthy living
5.5e+17,vincentporfirio,male,Education/Training,#NewYearsResolution #1: Learn a Second Language. This has been one goal that continues to get away f...,,2014-12-29 21:41:00,HI,learn a second language this has been one goal that continues to get away from me and in 2015 i aim ...
5.5e+17,vincentporfirio,male,Recreation & Leisure,#NewYearsResolution #2: Travel More! I had a whirlwind of travel in years past; 2014 w/ my new job p...,,2014-12-29 21:44:00,HI,travel more i had a whirlwind of travel in years past 2014 w my new job put travel to a halt 2015 wi...
5.5e+17,Crappy22,male,Personal Growth,RT @hi_dar: wear more black #NewYearsResolution,2.0,2014-12-30 23:37:00,HI,rt @hi dar wear more black
5.5e+17,biblio_phile,female,Personal Growth,"My New Year's Resolutions re: teaching, running, &amp; dancing like a badass. #NYE2015 #NewYearsReso...",0.0,2014-12-31 12:48:00,HI,my new years resolutions re teaching running amp dancing like a badass
5.5e+17,genaxjove,female,Personal Growth,"RT @APadeken: Starting yesterday, I don't put up with disrespect. #NewYearsResolution",1.0,2014-12-31 13:40:00,HI,rt @apadeken starting yesterday i dont put up with disrespect
5.51e+17,micahg808,male,Health & Fitness,RT @JennyPrathum: #NewYearsResolution get hot as fuck,2.0,2015-01-01 00:50:00,HI,rt @jennyprathum  get hot as fuck
5.51e+17,danyovalera,male,Humor,My New Years resolution every year is no cursing and to look hot as FVCK but Lauren had to play IDFW...,0.0,2015-01-01 11:46:00,HI,my new years resolution every year is no cursing and to look hot as fvck but lauren had to play idfw...
5.51e+17,_kirstenortiz,female,Personal Growth,new years resolution: to have more patience &amp; not overreact as much,0.0,2015-01-01 11:53:00,HI,new years resolution to have more patience amp not overreact as much
5.51e+17,Deb1323,female,Humor,My new years resolution is to work on last years resolutions.,0.0,2015-01-01 11:55:00,HI,my new years resolution is to work on last years resolutions
5.51e+17,buenosan,male,Humor,Finally done with my new years resolution list! So ready for 2015. http://t.co/Y70d7OlhOS,0.0,2015-01-01 12:17:00,HI,finally done with my new years resolution list so ready for 2015
5.51e+17,NikiNicole88,female,Education/Training,New Years Resolution: Go back to get my degree in Marine Biology _���,0.0,2015-01-02 09:35:00,HI,new years resolution go back to get my degree in marine biology
