tweet_id,name,gender,Resolution_Category,text,retweet_count,tweet_created,tweet_state,clean_text
5.47e+17,Abbi_D_Simonson,female,Family/Friends/Relationships,Never been kissed on New Years. #NewYearsResolution,,2014-12-23 12:11:00,ID,never been kissed on new years
5.48e+17,KevinrBenedict,male,Personal Growth,"The road to the #future has only one exit, so don't get off to ask directions.  #NewYearsResolution ...",,2014-12-24 05:19:00,ID,the road to the  has only one exit so dont get off to ask directions
5.49e+17,DaKyler,male,Health & Fitness,Going to break 4:10 for the mile and 9 minutes for 3200M. #NewYearsResolution #runnerspace #flotrack,,2014-12-26 13:40:00,ID,going to break 410 for the mile and 9 minutes for 3200m
5.49e+17,Stevegruenberg,male,Finance,@DaveRamsey we just finished our January budget!  Excited to start the new year right! #NewYearsReso...,,2014-12-28 14:00:00,ID,@daveramsey we just finished our january budget  excited to start the new year right
5.49e+17,Nanners81,female,Personal Growth,"Like ima be a good kid. Honest, loyal, honor roll kinda shit _٪� #NewYearsResolution",,2014-12-29 00:19:00,ID,like ima be a good kid honest loyal honor roll kinda shit
5.5e+17,jota5689,male,Personal Growth,#NewYearsResolution be myself and don't feel guilty for it.,,2014-12-29 06:37:00,ID,be myself and dont feel guilty for it
5.5e+17,groupgrowth,male,Personal Growth,What did we do today?!! Order 10 new books to continue our growth and learning in the new year! #New...,,2014-12-29 20:12:00,ID,what did we do today order 10 new books to continue our growth and learning in the new year
5.5e+17,TKienlen,male,Family/Friends/Relationships,A problem I have with relationships is I try to find all the problems rather than appreciating all t...,3.0,2014-12-30 21:29:00,ID,a problem i have with relationships is i try to find all the problems rather than appreciating all t...
5.5e+17,smashgriff,female,Humor,Can Blake Griffin be my baby daddy? K cool. #NewYearsResolution,,2014-12-31 09:17:00,ID,can blake griffin be my baby daddy k cool
5.5e+17,TaraBethIdaho,female,Personal Growth,"#NewYearsResolution 2:
Avoid Game of Thrones spoilers.
Which will be really hard cause I'm on book 2...",0.0,2014-12-31 10:28:00,ID,"2
avoid game of thrones spoilers
which will be really hard cause im on book 2 and seriously spoilers..."
5.5e+17,TaraBethIdaho,female,Humor,"#NewYearsResolution 3:
Be less addicted to social media.
Hahaha just kidding.",0.0,2014-12-31 13:41:00,ID,"3
be less addicted to social media
hahaha just kidding"
5.51e+17,cathompson,male,Health & Fitness,My #NewYearsResolution: 1. Quit drinking soda. 2. Reduce carb intake. 3. Lose weight &amp; belly fat...,0.0,2014-12-31 23:03:00,ID,my  1 quit drinking soda 2 reduce carb intake 3 lose weight amp belly fat 4 get bmi to 249 or lower
5.51e+17,JayleneNix,female,Personal Growth,Awesome! Write it down! Attitude is everything! @gnix20 @bronix86 @LyndsNix @NZMoney88 @winnie4ed #N...,2.0,2014-12-31 23:37:00,ID,awesome write it down attitude is everything @gnix20 @bronix86 @lyndsnix @nzmoney88 @winnie4ed
5.51e+17,krbenedict,male,Recreation & Leisure,Join me in supporting the protection of undiscovered areas in 2015.  We are almost certain they are ...,0.0,2015-01-01 06:37:00,ID,join me in supporting the protection of undiscovered areas in 2015  we are almost certain they are o...
5.51e+17,AshleyJoWG,female,Personal Growth,My New Years Resolution: Read more books! Already on it :),0.0,2015-01-02 08:26:00,ID,my new years resolution read more books already on it
