tweet_id,name,gender,Resolution_Category,text,retweet_count,tweet_created,tweet_state,clean_text
5.48e+17,Kam_Holt,male,Recreation & Leisure,New Years Resolution:  get back to Yosemite/Tahoe.  Blessed Half Dome. @YosemiteNPS @LakeTahoeCA #Ne...,,2014-12-25 07:31:00,KY,new years resolution  get back to yosemitetahoe  blessed half dome @yosemitenps @laketahoeca
5.48e+17,HealyHQ,male,Recreation & Leisure,"In this image are all the things I want to accomplish in the new year. My #NewYearsResolution, in ot...",,2014-12-25 15:59:00,KY,in this image are all the things i want to accomplish in the new year my  in other words
5.48e+17,Larry_Bo,male,Personal Growth,McDonald's it is I guess. I really need to start cooking my own food! #NewYearsResolution ?,,2014-12-25 17:16:00,KY,mcdonalds it is i guess i really need to start cooking my own food
5.49e+17,RachelBoylson,female,Personal Growth,"My new motto: 

Don't make it worse.

#aimhigh #sopositive #dontmakeitworse #newyearsresolution",,2014-12-26 20:37:00,KY,"my new motto 

dont make it worse"
5.49e+17,Sinner3Am,male,Humor,#NewYearsResolution I think I can keep my new one... to stop making New Years Resolutions! \m/ :P,,2014-12-27 06:48:00,KY,i think i can keep my new one to stop making new years resolutions m p
5.49e+17,The_LifeofRiley,male,Health & Fitness,My #NewYearsResolution is to utterly fail at getting back into shape.,,2014-12-27 08:03:00,KY,my  is to utterly fail at getting back into shape
5.49e+17,TimAPrice,male,Personal Growth,"I've got to set some goals for 2015.
Personal goals and work goals.
#NewYearsResolution",,2014-12-27 19:19:00,KY,"ive got to set some goals for 2015
personal goals and work goals"
5.49e+17,crystalHwilson,female,Personal Growth,"RT @TimAPrice: I've got to set some goals for 2015.
Personal goals and work goals.
#NewYearsResoluti...",,2014-12-27 19:43:00,KY,"rt @timaprice ive got to set some goals for 2015
personal goals and work goals"
5.49e+17,Jamie__Bailey,female,Finance,My #NewYearsResolution is to make more money. Thanks to @l00tapp that is possible! http://t.co/WerfW...,,2014-12-28 03:33:00,KY,my  is to make more money thanks to @l00tapp that is possible
5.49e+17,caroline_rosie,female,Health & Fitness,"Did 4.25 miles before 11am. And my @fitbit is proud of me! It keeps smiling at me :D 
#NewYearsResol...",,2014-12-28 08:07:00,KY,did 425 miles before 11am and my @fitbit is proud of me it keeps smiling at me d
5.49e+17,RettaRace,female,Health & Fitness,@FitterAndFaster #NewYearsResolution I resolve to increase my flexibility,,2014-12-28 08:33:00,KY,@fitterandfaster  i resolve to increase my flexibility
5.49e+17,StephMarieAllen,female,Personal Growth,My poor Twitter has been neglected hasn't it? #NewYearsResolution 1: Be more active.,,2014-12-28 11:32:00,KY,my poor twitter has been neglected hasnt it  1 be more active
5.49e+17,JDM_Speedruns,male,Personal Growth,I hope my apology shows that I know what I've done and am trying to turn a new leaf. #NewYearsResolu...,,2014-12-28 16:33:00,KY,i hope my apology shows that i know what ive done and am trying to turn a new leaf
5.49e+17,MrDustin_LaNe,male,Personal Growth,"My #NewYearsResolution to #Marry @destanievires93, straighten out my life and continue our adventure...",,2014-12-28 19:06:00,KY,my  to  @destanievires93 straighten out my life and continue our adventures maybe even start my
5.49e+17,PatrickHendric2,male,Humor,RT @isuperAltamash: Seriously !? People for this #NewYearsResolution ! _٪� _��� http://t.co/IvT3RFp1...,,2014-12-28 22:32:00,KY,rt @isuperaltamash seriously  people for this
5.5e+17,mrsbnjcwilson,female,Humor,My #NewYearsResolution is to stop using so many Emojis. _���_���_��__���_�ե_���_���_���_���_���_���_...,,2014-12-29 09:37:00,KY,my  is to stop using so many emojis  ե
5.5e+17,CamOnAir,male,Personal Growth,My #NewYearsResolution? To be more #awesome! Oh wait... That's not possible.,,2014-12-29 18:14:00,KY,my  to be more  oh wait thats not possible
5.5e+17,southernbell039,female,Personal Growth,I only have one wish for 2015 and that is to get closer to my truth #NewYearsResolution #discover #i...,,2014-12-29 20:49:00,KY,i only have one wish for 2015 and that is to get closer to my truth
5.5e+17,Thebrainky,male,Health & Fitness,Eat healthier and travel more! @Cariloha #HashTagofTheWeek #NewYearsResolution,,2014-12-29 21:46:00,KY,eat healthier and travel more @cariloha
5.5e+17,ATMPapiTy,male,Personal Growth,Knowing My Faults and what to Change Myself is the best way to start 2015 #NewYearsResolution,,2014-12-30 06:52:00,KY,knowing my faults and what to change myself is the best way to start 2015
5.5e+17,Mr_JayMiller,male,Career,2015: Is the year I figure out what I wanna do with the rest of my life #NewYearsResolution,,2014-12-30 09:23:00,KY,2015 is the year i figure out what i wanna do with the rest of my life
5.5e+17,ChanelHA,female,Personal Growth,#NewYearsResolution ... STOP talkin' smack. If it makes them happy than who cares! #imtoooldforthiss...,,2014-12-30 09:26:00,KY,stop talkin smack if it makes them happy than who cares
5.5e+17,hazenchr,male,Humor,#newyears #thelist The ever changing #NewYearsResolution list. hahaha http://t.co/M3iyz7dQWm,,2014-12-30 19:59:00,KY,the ever changing  list hahaha
5.5e+17,nashleyash,female,Humor,My New Years resolution is to repair my relationship with pizza. I've been cheating on him with burr...,,2014-12-30 20:51:00,KY,my new years resolution is to repair my relationship with pizza ive been cheating on him with burrit...
5.5e+17,alcahc,female,Personal Growth,"New Years resolution for me = to pray, play, &amp; love more. Simple #NewYearsResolution #love @newy...",0.0,2014-12-30 21:28:00,KY,new years resolution for me  to pray play amp love more simple   @newyearsredolution
5.5e+17,LMC502,female,Humor,"@roastedbeanz Can't my #NewYearsResolution BE to keep calm and eat cookies? haha, I wish!",0.0,2014-12-30 21:33:00,KY,@roastedbeanz cant my  be to keep calm and eat cookies haha i wish
5.5e+17,Phil2274,male,Recreation & Leisure,I just realized how much I miss playing drums. My New Years Resolution: Reacquire a set. #Remo #Drum...,0.0,2014-12-30 23:23:00,KY,i just realized how much i miss playing drums my new years resolution reacquire a set
5.5e+17,captivatedmind,female,Personal Growth,No more excuses. #changeswillbemade #NewYearsResolution,0.0,2014-12-30 23:28:00,KY,no more excuses
5.5e+17,_VillyC_,male,Personal Growth,"I'm really thinking about deleting all of my social media accounts, it just makes sense... #deepthou...",0.0,2014-12-30 23:41:00,KY,im really thinking about deleting all of my social media accounts it just makes sense
5.5e+17,bacon_lover2442,female,Health & Fitness,Can I pig out today to be healthy all next year? Lol #NewYearsResolution,0.0,2014-12-31 05:14:00,KY,can i pig out today to be healthy all next year lol
