tweet_id,name,gender,Resolution_Category,text,retweet_count,tweet_created,tweet_state,clean_text
5.47e+17,BusinessManFlow,male,Personal Growth,#NewYearsResolution become the fun person i use to be.,,2014-12-22 02:09:00,LA,become the fun person i use to be
5.47e+17,allisonbadely,female,Personal Growth,This is when people start reflecting on their past. I'm just focused on my future. #holidays #endoft...,,2014-12-22 10:23:00,LA,this is when people start reflecting on their past im just focused on my future     stay focused
5.47e+17,AmPressRhettM,male,Health & Fitness,My #NewYearsResolution is to beat #bae in our fitness competition.,,2014-12-22 13:58:00,LA,my  is to beat  in our fitness competition
5.47e+17,MrGrey_,male,Personal Growth,"#NewYearsResolution Dress well, Get money &amp; Stunt on my old hoes.",,2014-12-22 23:21:00,LA,dress well get money amp stunt on my old hoes
5.47e+17,roybusinesschat,male,Personal Growth,#NewYearsResolution that Jesus Christ will ALWAYS be first in our lives. Especially mine.,,2014-12-23 12:36:00,LA,that jesus christ will always be first in our lives especially mine
5.48e+17,roybusinesschat,male,Philanthropic,#NewYearsResolution - to help as many #Entrepreneurs as I possibly can with funding and consulting s...,,2014-12-23 17:06:00,LA,to help as many  as i possibly can with funding and consulting so that they may experience
5.48e+17,roybusinesschat,male,Education/Training,#NewYearsResolution - that college graduates of the Class of 2015 enter into #entrepreneurship inste...,,2014-12-23 17:18:00,LA,that college graduates of the class of 2015 enter into  instead of a
5.48e+17,roybusinesschat,male,Finance,#NewYearsResolution - that #neworleans experiences economic growth and worth valued at 1 billion!,,2014-12-23 17:23:00,LA,that  experiences economic growth and worth valued at 1 billion
5.48e+17,k_is4kaylaa,female,Family/Friends/Relationships,I need to meet new people. #NewYearsResolution,,2014-12-25 21:32:00,LA,i need to meet new people
5.48e+17,x3sanctuaryx3,male,Humor,Can my 2015 #newyearsresolution be to fight to get @thewanted back together? Just spent hours watchi...,,2014-12-25 23:05:00,LA,can my 2015  be to fight to get @thewanted back together just spent hours watching vids of them
5.48e+17,LivingLouisiana,female,Personal Growth,"Christmas is over so moving on to #NewYearsResolution - Serve More, Laugh More, Connect More. #Lovin...",,2014-12-26 06:30:00,LA,christmas is over so moving on to   serve more laugh more connect more
5.49e+17,owl_be_darned,male,Personal Growth,"#NewYearsResolution Stop giving a fuck what people think about you. You turn 18 this year, time to s...",,2014-12-26 12:09:00,LA,stop giving a fuck what people think about you you turn 18 this year time to start living for yourse...
5.49e+17,HydieDuke,female,Health & Fitness,My #NewYearsResolution ? To be #skinny &amp; have #Ana take over my life. #goals #proana #skinnydrea...,,2014-12-26 15:27:00,LA,my   to be  amp have  take over my life
5.49e+17,crawkisser,female,Health & Fitness,Started my #NewYearsResolution early. I wrapped yesterday and got back on my Thermofit. 10lbs are co...,,2014-12-27 15:54:00,LA,started my  early i wrapped yesterday and got back on my thermofit 10lbs are coming off
5.49e+17,Alikhatt,female,Finance,My #NewYearsResolution is to make more money. Thanks to @l00tappp that is possible! http://t.co/6K8n...,,2014-12-27 17:46:00,LA,my  is to make more money thanks to @l00tappp that is possible
5.49e+17,xterrixoxo,female,Recreation & Leisure,#NewYearsResolution go huntin for the first time!,,2014-12-28 01:09:00,LA,go huntin for the first time
5.49e+17,xterrixoxo,female,Health & Fitness,#NewYearsResolution lose weight :c,,2014-12-28 01:09:00,LA,lose weight c
5.49e+17,MrsSMade,female,Health & Fitness,Time for A #checkup.. #NewYearsResolution,,2014-12-28 10:09:00,LA,time for a
5.49e+17,KyleKuhns,male,Recreation & Leisure,"#NewYearsResolution: Allow all things good to consume me, read more, love deeper, work hard &amp; tr...",,2014-12-28 12:24:00,LA,allow all things good to consume me read more love deeper work hard amp travel to iceland or another...
5.5e+17,Foodaddictbetty,female,Health & Fitness,Still tweaking my fitness and healthy lifestyle plan. Goals are the same. #NewYearsResolution #Weigh...,,2014-12-29 09:52:00,LA,still tweaking my fitness and healthy lifestyle plan goals are the same
5.5e+17,ravennichole_c,female,Personal Growth,"fuck all negative thoughts&amp;vibes. 
only positive vibes. _��� 
#NewYearsResolution",,2014-12-29 14:46:00,LA,"fuck all negative thoughtsampvibes 
only positive vibes"
5.5e+17,Catherine_Riche,female,Health & Fitness,RT @BrendaPerrott: #NewYearsResolution We can start them early -- get a head start!!!  Make kill pou...,,2014-12-29 15:57:00,LA,rt @brendaperrott  we can start them early  get a head start  make kill pounds stop killing sweet
5.5e+17,Kismet0212,female,Finance,My goal for 2015 is to save money....oh yeah and to lose weight #Cliche #NewYearsResolution,,2014-12-29 18:42:00,LA,my goal for 2015 is to save moneyoh yeah and to lose weight
5.5e+17,DDupre9,female,Recreation & Leisure,#NewYearsResolution : I will NOT do extreme Kayaking at Victoria Falls with @DerickPauls @rainrain91...,,2014-12-30 00:32:00,LA,i will not do extreme kayaking at victoria falls with @derickpauls @rainrain919 @mesfe
5.5e+17,DDupre9,female,Recreation & Leisure,#NewYearsResolution : I will NOT do extreme Kayaking at Victoria Falls with @DerickPauls @rainrain91...,,2014-12-30 00:39:00,LA,i will not do extreme kayaking at victoria falls with @derickpauls @rainrain919  @mesfer17
5.5e+17,eskitchen,male,Health & Fitness,Working on healthy smoothies using our #Hurom #slowjuicer. #newyearsresolution #healthy http://t.co/...,,2014-12-30 09:11:00,LA,working on healthy smoothies using our
5.5e+17,eskitchen,male,Health & Fitness,Working on healthy smoothies using our #Hurom #slowjuicer. #newyearsresolution #healthy http://t.co/...,,2014-12-30 09:11:00,LA,working on healthy smoothies using our
5.5e+17,Noonie_Andretti,female,Personal Growth,RT @standtall___: #NewYearsResolution to speak my mind more,,2014-12-30 09:59:00,LA,rt @standtall   to speak my mind more
5.5e+17,Noonie_Andretti,female,Personal Growth,RT @standtall___: #NewYearsResolution is to work even harder,,2014-12-30 09:59:00,LA,rt @standtall   is to work even harder
5.5e+17,AmberDp29,female,Health & Fitness,"#Resolution #2014 complete. no more #flatass, &amp; my thighs don't look like they were beaten with ...",,2014-12-30 20:34:00,LA,complete no more  amp my thighs dont look like they were beaten with a bag of nickels
5.5e+17,hhr103,male,Family/Friends/Relationships,It's #NewYearsEve so my #NewYearsResolution is to be nice to my little brother!!! #mightnothappen #c...,0.0,2014-12-31 01:42:00,LA,its  so my  is to be nice to my little brother
5.5e+17,JL_Reports,female,Health & Fitness,#humblebrag official 2014 weight loss count: 73.8 pounds and the one #NewYearsResolution that has st...,0.0,2014-12-31 04:48:00,LA,official 2014 weight loss count 738 pounds and the one  that has stuck in my 26 years
5.5e+17,Bondilyn,female,Career,What's your plan for 2015?  Mine is the triple our @easyeMerge subscribers and I have a plan!  #NewY...,1.0,2014-12-31 08:17:00,LA,whats your plan for 2015  mine is the triple our @easyemerge subscribers and i have a plan
5.5e+17,purified_lovexo,female,Personal Growth,"RT @theaceleste: 2015, Im ready for 'ya! #NewYearsResolution http://t.co/ytnIlBSuiD",13.0,2014-12-31 08:53:00,LA,rt @theaceleste 2015 im ready for ya
5.5e+17,sbradydrummer,male,Personal Growth,#newyearsresolution - This fortune cookie. http://t.co/vUnzo51WVq,0.0,2014-12-31 09:06:00,LA,this fortune cookie
5.5e+17,MMOOOOONNI3,female,Health & Fitness,"#NewYearsEve #NewYear #NewYearsResolution  #NotarizedBET stay in shape, more progress, graduate, los...",0.0,2014-12-31 13:13:00,LA,stay in shape more progress graduate lose weight car deanslistmoney
5.5e+17,letsgetgreen92,male,Personal Growth,"1. Focus on me
2. Sell my t-shirts
3. Graduate 
4. Being financially stable #NewYearsResolution #New...",0.0,2014-12-31 14:27:00,LA,"1 focus on me
2 sell my tshirts
3 graduate 
4 being financially stable"
5.5e+17,mysticjomo,female,Personal Growth,RT @Realadamkaufman: #NewYearsResolution find the #mountain lion that left these tracks http://t.co/...,3.0,2014-12-31 14:46:00,LA,rt @realadamkaufman  find the  lion that left these tracks
5.5e+17,AnthonyAgnello,male,Humor,My #NewYearsResolution....don't die and stay as equally fat. #keepitsimple,0.0,2014-12-31 14:48:00,LA,my dont die and stay as equally fat
5.5e+17,wolfking20ten,male,Recreation & Leisure,"RT @AaronJNS: #NewYearsResolution 

Play one game at a time. I have a habit of juggling multiple gam...",1.0,2014-12-31 15:12:00,LA,"rt @aaronjns  

play one game at a time i have a habit of juggling multiple games at once then never..."
5.5e+17,JonathanLenahan,male,Humor,"I resolve to buy more Adventure Time clothing and wear it at inappropriate times, like funerals. #Ne...",0.0,2014-12-31 16:31:00,LA,i resolve to buy more adventure time clothing and wear it at inappropriate times like funerals
5.5e+17,JonathanLenahan,male,Humor,I resolve to quit fixing my hair in the reflections of bald people's skulls. It just seems cruel. #N...,0.0,2014-12-31 16:45:00,LA,i resolve to quit fixing my hair in the reflections of bald peoples skulls it just seems cruel
5.5e+17,JonathanLenahan,male,Personal Growth,I resolve to quit resolving to do things and just let things slap me in the face without prior plann...,0.0,2014-12-31 16:51:00,LA,i resolve to quit resolving to do things and just let things slap me in the face without prior plann...
5.5e+17,JonathanLenahan,male,Family/Friends/Relationships,"Actually, I resolve to quit laughing in people's faces. Period. I always get the meanest looks. #New...",0.0,2014-12-31 16:53:00,LA,actually i resolve to quit laughing in peoples faces period i always get the meanest looks
5.5e+17,Thogar,male,Humor,My 2015 #NewYearsResolution is the same as every year: Try to not kill all the people that need kill...,1.0,2014-12-31 16:56:00,LA,my 2015  is the same as every year try to not kill all the people that need killin it gets harder ev...
5.5e+17,Thogar,male,Humor,Another 2015 #NewYearsResolution of mine is to really put the crotch in crotchety.,0.0,2014-12-31 17:02:00,LA,another 2015  of mine is to really put the crotch in crotchety
5.5e+17,JonathanLenahan,male,Humor,"I resolve to take more naps throughout the day. Power naps, twenty-minute naps, naps standing, naps ...",0.0,2014-12-31 17:11:00,LA,i resolve to take more naps throughout the day power naps twentyminute naps naps standing naps sleep...
5.5e+17,JonathanLenahan,male,Personal Growth,"I resolve to quit giving fake high-fives because, well, that's also cruel. #NewYearsResolution",0.0,2014-12-31 17:15:00,LA,i resolve to quit giving fake highfives because well thats also cruel
5.5e+17,JonathanLenahan,male,Humor,I resolve to avoid making fun of the sloppy New Year's kisses between drunk people who just met. #Ne...,0.0,2014-12-31 17:32:00,LA,i resolve to avoid making fun of the sloppy new years kisses between drunk people who just met
5.51e+17,ToddMenesses,male,Humor,Okay it's been more than an hour...can I give up on my resolutions yet?#NewYearsResolution,0.0,2014-12-31 23:19:00,LA,okay its been more than an hourcan i give up on my resolutions yet
5.51e+17,emilythinguyen,female,Personal Growth,#NewYearsResolution finish what I start lol. Can't stay with a job for more than 6 months anymore be...,0.0,2014-12-31 23:19:00,LA,finish what i start lol cant stay with a job for more than 6 months anymore because of all these  op...
5.51e+17,presleyseal,female,Personal Growth,"""This is the year I will be stronger, braver, kinder, &amp; unstoppable. "" ~unknown
#NewYearsResolut...",2.0,2014-12-31 23:23:00,LA,this is the year i will be stronger braver kinder amp unstoppable  unknown
5.51e+17,_opulently,female,Health & Fitness,"""@chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes"" you can do it _...",0.0,2015-01-01 05:29:00,LA,@chrisbrown supper club right now  stop smoking cigarettes you can do it  ԏ ԏ ԏ ԏ
5.51e+17,jward9606,male,Health & Fitness,New years resolutions. Stop drinking orange juice after brushing my teeth.  Oh and eat more bacon. #...,0.0,2015-01-01 06:34:00,LA,new years resolutions stop drinking orange juice after brushing my teeth  oh and eat more bacon
